species;name_sc;name_reclass;name_reclass_old;color-OLD;color;name_reclassNL;name_reclassFULLNL
7;Fagus sylvatica L.;Fagus sylvatica;Fagus sylvatica;#C63526;#7E350E;Fagus sylvatica;Beuk
14;Fraxinus excelsior L.;Fraxinus excelsior;Fraxinus excelsior;#006635;#73FBFD;Fraxinus excelsior;Gewone es
17;Larix decidua;Larix spp.;Larix species;#741B7C;#741B7C;Larix spp.;Lork
32;Larix kaempferi;Larix spp.;Larix species;#741B7C;#741B7C;Larix spp.;Lork
40;Larix species;Larix spp.;Larix species;#741B7C;#741B7C;Larix spp.;Lork
11;Pinus nigra;Pinus nigra;Pinus nigra;#817F26;#356196;Pinus nigra;Zwarte den
101;Pinus pinaster;Pinus pinaster;Pinus pinaster;#7F82BB;#7F82BB;Pinus pinaster;Zeeden
26;Pinus sylvestris L.;Pinus sylvestris;Pinus sylvestris;#356196;#006635;Pinus sylvestris;Grove den
24;Populus canescens;Populus canescens;Populus canescens;#FFCD34;#808080;Populus canescens;Grauwe abeel
82;Populus alba;Populus spp.;Populus species;#3282F6;#C0C0C0;Populus spp.;Populier
51;Populus species;Populus spp.;Populus species;#3282F6;#C0C0C0;Populus spp.;Populier
52;Populus tremula L.;Populus spp.;Populus species;#3282F6;#C0C0C0;Populus spp.;Populier
9;Prunus avium (L.) L.;Prunus avium;Prunus avium;#EA3680;#EA3680;Prunus avium;Boskers
4;Prunus serotina Ehrh.;Prunus serotina;Prunus serotina;#FFFD55;#FFFD55;Prunus serotina;Amerikaanse vogelkers
12;Pseudotsuga menziesii;Pseudotsuga menziesii;Pseudotsuga menziesii;#7E84F7;#7E84F7;Pseudotsuga menziesii;Douglasspar
3;Quercus rubra L.;Quercus rubra;Quercus rubra;#FF3300;#FF3300;Quercus rubra;Amerikaanse eik
80;Quercus petraea Lieblein;Quercus spp. native;Quercus petraea;#E97132;#458B00;Quercus spp. Inheems;Inheemse eik
87;Quercus robur L.;Quercus spp. native;Quercus robur;#019966;#458B00;Quercus spp. Inheems;Inheemse eik
53;Robinia pseudoacacia L.;Robinia pseudoacacia;Robinia pseudoacacia;#C0C0C0;#843860;Robinia pseudoacacia;Valse acacia
22;Salix aurita L.;Salix ‘caprea’-type;Salix ‘caprea’-type;#7E350E;#8E403A;Salix ‘caprea’-type;Breedbladige wilg
77;Salix spp. (broad leaves);Salix ‘caprea’-type;Salix spp. (breedbladig);#7E350E;#8E403A;Salix spp. (breedbladig);Breedbladige wilg
78;Salix spp. (small leaves);Salix ‘alba’-type;Salix ‘alba’-type;#CCFF66;#FFB90F;Salix ‘alba’-type;Smalbladige wilg
39;Sorbus aucuparia L.;Sorbus aucuparia;Sorbus aucuparia;#C2C444;#C2C444;Sorbus aucuparia;Lijsterbes
81;Tilia cordata Mill.;Tilia cordata;Tilia cordata;#83CCEB;#FF7256;Tilia cordata;Winterlinde
58;Ulmus glabra Huds.;Ulmus glabra;Ulmus glabra;#808080;#377D22;Ulmus glabra;Ruwe iep
19;Ulmus laevis Pallas;Ulmus laevis;Ulmus laevis;#FFC000;#FFC000;Ulmus laevis;Fladderiep
23;Ulmus minor Mill.;Ulmus minor;Ulmus minor;#FFFFCC;#C63526;Ulmus minor;Gladde iep
