species;name_sc;name_reclass;name_reclass_old;color-OLD;color;name_reclassNL;name_reclassFULLNL
61;Acer campestre L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
113;Acer saccharinum; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
2;Amelanchier lamarckii F.G. Schroed; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
54;Cornus sanguinea L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
67;Crataegus laevigata (Poiret) DC.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
13;Crataegus monogyna Jacq.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
41;Crataegus species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
63;Frangula alnus Mill.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
31;Ilex aquifolium L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
91;Juglans nigra; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
45;Juglans regia; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
111;Ligustrum species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
5;Malus species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
18;Picea abies; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
100;Prunus laurocerasus L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
71;Prunus padus L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
59;Prunus spinosa L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
76;Pyrus pyraster (L.) Duroi; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
43;Quercus palustris L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
69;Sambucus nigra L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
66;Sambucus racemosa L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
65;Taxus baccata L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
48;Unknown species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
20;Viburnum opulus L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
50;Aesculus hippocastanum; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
46;Hardwood species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
47;Softwood species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
15;F. excelsior/A. pseudoplatanus; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten
44;Acer platanoides L.;Acer platanoides;Acer platanoides;#F08784;#F08784;Acer platanoides;Noorse esdoorn
16;Acer pseudoplatanus L.;Acer pseudoplatanus;Acer pseudoplatanus;#EF972C;#EA3FF7;Acer pseudoplatanus;Gewone esdoorn
112;Alnus cordata;Alnus spp.;Alnus cordata;#A1FB8E;#A1FB8E;Alnus spp.;Els
89;Alnus glutinosa (L.) Gaertn.;Alnus spp.;Alnus glutinosa;#8E403A;#A1FB8E;Alnus spp.;Els
83;Alnus incana (L.) Moench;Alnus spp.;Alnus incana;#EB3324;#A1FB8E;Alnus spp.;Els
86;Betula pubescens L.;Betula spp.;Betula pubescens ;#377D22;#FFFFCC;Betula spp.;Berk
57;Betula pendula Roth;Betula spp.;Betula pendula;#843860;#FFFFCC;Betula spp.;Berk
6;Betula pendula/pubescens;Betula spp.;Betula pendula/pubescens;#377D22;#FFFFCC;Betula spp.;Berk
27;Carpinus betulus L.;Carpinus betulus;Carpinus betulus;#F08650;#EF972C;Carpinus betulus;Haagbeuk
64;Castanea sativa Mill.;Castanea sativa;Castanea sativa;#73FBFD;#EB3324;Castanea sativa;Tamme kastanje
28;Corylus avellana L.;Corylus avellana;Corylus avellana;#EA3FF7;#FFCD34;Corylus avellana;Hazelaar
