forest_reserve;reserve_area_ha;m_ann_temp;m_ann_prec;vegetation_type;vegetation_typeNL;year_reserve;year_abandonment;year_reserveNL;year_abandonmentNL;managment;latitude;longitude;Nr;Correct_name;Short_name;Beheer;Gemeente;Provincie;remark;remarkDeadW
Ename;105;10;765;Endymio-Fagetum (also Alno-Padion);Endymio-Fagetum (ook Alno-Padion);early 1990's and regular extensions;1990;begin jaren 1990 met regelmatige uitbreidingen;in de onbeheerde delen werd in 1990 stopgezet;1;50,86017;3,64927;1;Bos t'Ename;Bos t'Ename *;Bos t'Ename bestaat slechts een beperkt deel uit onbeheerd bos. Een belangrijk deel van de proefvlakken ligt in begraasd en/of beheerd bos. ;Oudenaarde;Oost-Vlaanderen;;
Bos Terrijst;49,98;10,1;804;Endymio-Carpinetum, Endymio-Fagetum and Alno-Padion;Endymio-Carpinetum, Endymio-Fagetum en Alno-Padion;1996;2003;1996;2003;0;50,71711;4,08377;2;Bos Ter Rijst;Bos Ter Rijst;;Pepingen;Vlaams-Brabant;;
Coolhembos;78;9,8;780;Carici elongatae - Alnetum;Carici elongatae - Alnetum;1995;1993;1995;1993;0;51,075599;4,314138;3;Coolhembos;Coolhembos;;Puurs-Sint-Amands;Antwerpen;;
Heirnisse;76,39;10,2;763;Cirsio-Alnetum -Base-rich variant of the Filipendulo-Alnetum with Rubus caesius and Cirsium oleraceum and Violo-Quercetum (atlantic Fago-Quercetum);Cirsio-Alnetum (base-rijke variant van het Filipendulo-Alnetum met dauwbraam en moesdistel) en Violo-Quercetum (Atlantic Fago-Quercetum);1996;2008;1996;2008;0;51,067776;3,03957;4;De Heirnisse;De Heirnisse;;Sint-Niklaas;Oost-Vlaanderen;;
Hannecartbos;40;10;600;wet dune forest and mesotrophic swamp forest;nat duinbos en mesotroof moerasbos;1989;halfway 1980's;1989;halfweg jaren 1980;0;51,130789;2,700425;5;Hannecartbos;Hannecartbos;;Koksijde;West-Vlaanderen;;
Jansheideberg;26,5;9,8;837;Endymio-Carpinetum and Endymio-Fagetum;Endymio-Carpinetum en Endymio-Fagetum;1996;1994;1996;1994;0;50,704045;4,27743;6;Jansheideberg;Jansheideberg;;Halle;Vlaams-Brabant;;
Kluisbos;50;9,6;775;Endymio-Fagetum;Endymio-Fagetum;2006;ca. 2000;2006;is in delen van het bos rond ca. 2000 stopgezet;1;51,19724;4,56693;7;Kluisbos;Kluisbos *;Kluisbos omvat cirkelplots in beheerd (regulier beheer) en onbeheerd bos. Er zijn 67/85 cirkelplots binnen het bosreservaat (50 ha), en 61 in het beheerde bos (ca. 60 ha), waar in 2016-17 nog een selectieve dunning werd uitgevoerd. De resultaten hieronder geven enkel de resultaten van het bosreservaat. ;Kluisbergen;Oost-Vlaanderen;;
Kolmont;16,7;9,7;821;Stellario-Carpinetum and Fago-Quercetum (also Alno-Padion);Stellario-Carpinetum en Fago-Quercetum (ook Alno-Padion);1995;1991;1995;1991;0;50,79926;5,42524;8;Kolmontbos;Kolmontbos;;Tongeren-Borgloon;Limburg;;
Liedekerke;21;10,2;785;Fago-Quercetum (also Alno-Padion);Fago-Quercetum (ook Alno-Padion);2003;1972;2003;1972;0;50,86589;4,11342;9;Liedekerkebos;Liedekerkebos;;Liedekerke;Oost-Vlaanderen;;
De heide;32,6;9,9;808;Stellario-Carpinetum/Primulo-Carpinetum;Stellario-Carpinetum/Primulo-Carpinetum;1999;ongoing;1999;bestaat uit middelhout;1;50,79710007;4,701340199;10;Meerdaalwoud - De Heide;M- De Heide *;Meerdaalwoud - De Heide is een  beheerd reservaat waar middelhoutbeheer terug werd toegepast. Het onderzoeksgebied werd onderverdeeld in acht vakken, waarvan elke twee jaar een vak zou worden gekapt. Na een eerste rondgang zou om de drie jaar een vak worden gekapt. Er was enige vertraging bij de uitvoering van de plannen maar uiteindelijk werden tussen 2001 en 2019 in totaal 6 van de 8 vakken gekapt. Sindsdien is het beheer tijdelijk stopgezet, omdat het zeer arbeidsintensief is en niet de gewenste resultaten leek op te leveren. Er zijn 52 cirkelplots (minstens 5 per vak) die volgens het standaardmeetprotocol werden opgemeten in 2016 (toen 5 van de  8 vakken gekapt). Een heropname is uitgesteld tot er duidelijkheid is over het beheer. ;Bierbeek;Vlaams-Brabant;;
Everzwijnbad;27,48;9,8;820;Stellario-Carpinetum;Stellario-Carpinetum;1995;1995;1995;1995;0;50,79821;4,6785;11;Meerdaalwoud - Everzwijnbad;M- Everzwijnbad;;Oud-Heverlee;Vlaams-Brabant;;
Pruikemakers;38,69;9,8;820;Stellario-Carpinetum/Primulo-Carpinetum;Stellario-Carpinetum/Primulo-Carpinetum;1995;2002;1995;2002;0;50,79865;4,715;12;Meerdaalwoud - Pruikenmakers;M- Pruikenmakers;;Bierbeek;Vlaams-Brabant;;
Muizenbos;34,19;10;781;mostly Alno-Padion and some Quercion;vooral Alno-Padion en beetje Quercion;1997;1997;1997;1997;0;51,19724;4,56693;13;Muizenbos;Muizenbos;;Ranst;Antwerpen;;
Rodebos;90;10;764;Fago-Quercetum and Alno-Padion;Fago-Quercetum en Alno-Padion;1989;halfway 1980's;1989;in de onderzochte delen van het reservaat is sinds halfweg 1980 stopgezet;1;51,075599;4,314138;14;Rodebos;Rodebos;;Huldenberg;Vlaams-Brabant;;
Sevendonck;65;9,8;797;Betulo-Quercetum and Carici elongatae - Alnetum;Betulo-Quercetum en Carici elongatae - Alnetum;1997;1995;1997;1995;0;51,27624;4,93689;15;Sevendonk;Sevendonk;Sevendonk heeft in totaal 78 cirkelplots: 40 in het Alnion en 38 in het Quercion. Twee proefvlakken in het Quercion werden in 2019 terug in beheer genomen en daarom gesupprimeerd. De resultaten hieronder geven de totaalcijfers voor alle proefvlakken samen.;Turnhout;Antwerpen;;
Walenbos;300;10;800;mesotrophic swamp forest and Alno-Padion;mesotroof moerasbos en Alno-Padion;1989;halfway 1980's;1989;halfweg jaren 1980;0;50,928474;4,865944;16;Walenbos;Walenbos;;Tielt-Winge;Vlaams-Brabant;;
Wijnendalebos;65;10;705;Fago-Quercetum;Fago-Quercetum;1996;2001;1996;2001;0;51,06778;3,03957;17;Wijnendalebos;Wijnendalebos;;Ichtegem;West-Vlaanderen;;
Withoefse heide;18;9,9;792;Pinetum and Betulo-Quercetum;Pinetum en Betulo-Quercetum;1994;1943;1994;1943;0;51,370867;4,448374;18;Withoefse heide;Withoefse heide;;Kalmthout;Antwerpen;;
Zwaenepoel;230;9,8;840;Fago-Quercetum;Fago-Quercetum;1995-2010;1983-2008;1995-2010;1983-2008;0;50,75244;4,42024;19;Zonienwoud - Joseph Zwaenepoel Reservaat;Z- J. Zwaenepoel;Het reservaat werd in verschillende fases opgericht. Een eerste zone van 17 ha (11 cirkelplots) is sinds 1983 onbeheerd en werd samen met een eerste uitbreiding (83 ha, 63 cirkelplots) en een zone met door eiken-haagbeukenbos (Haras, 30 ha, 23 cirkelplots) in 1995 uit beheer genomen en aangewezen als reservaat. In 2008 werd de tussenliggende zone (2de uitbreiding, ca. 100 ha, 64 cirkelplots) uit beheer genomen en in 2010 officieel aan het reservaat toegevoegd.;Hoeilaart;Vlaams-Brabant;De figuren hieronder geven de resultaten per periode voor alle proefvlakken gecombineerd, die in die periode werden opgemeten. Ze beslaan per periode andere oppervlaktes en zijn dus niet zomaar met elkaar te vergelijken.;Voor dit gebied zijn de detaildata van liggend dood hout uit periode 1 nog niet digitaal beschikbaar. 
