name_sc;name_reclass;name_reclass_old;color-OLD;color;name_reclassNL;name_reclassFULLNL;;;;
Acer campestre L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Acer saccharinum; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Amelanchier lamarckii F.G. Schroed; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Cornus sanguinea L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Crataegus laevigata (Poiret) DC.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Crataegus monogyna Jacq.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Crataegus species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
F. excelsior/A. pseudoplatanus; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Frangula alnus Mill.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Hardwood species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Ilex aquifolium L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Juglans nigra; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Juglans regia; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Ligustrum species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Malus species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Picea abies; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Prunus laurocerasus L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Prunus padus L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Prunus spinosa L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Pyrus pyraster (L.) Duroi; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Quercus palustris L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Sambucus nigra L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Sambucus racemosa L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Softwood species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Taxus baccata L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Unknown species; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Viburnum opulus L.; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
Aesculus hippocastanum; Other species; Other species;#282A72;#282A72; Andere boomsoorten; Andere boomsoorten;;;;
