name_sc;name_reclass;name_reclass_old;color-OLD;color;name_reclassNL;name_reclassFULLNL;;;;
Acer platanoides L.;Acer platanoides;Acer platanoides;#F08784;#F08784;Acer platanoides;Noorse esdoorn;;;;
Acer pseudoplatanus L.;Acer pseudoplatanus;Acer pseudoplatanus;#EF972C;#EA3FF7;Acer pseudoplatanus;Gewone esdoorn;;;;
Alnus cordata;Alnus spp.;Alnus cordata;#A1FB8E;#A1FB8E;Alnus spp.;Els;;;;
Alnus glutinosa (L.) Gaertn.;Alnus spp.;Alnus glutinosa;#8E403A;#A1FB8E;Alnus spp.;Els;;;;
Alnus incana (L.) Moench;Alnus spp.;Alnus incana;#EB3324;#A1FB8E;Alnus spp.;Els;;;;
Betula alba L.;Betula spp.;Betula tremula/alba;#377D22;#FFFFCC;Betula spp.;Berk;;;;
Betula pendula Roth;Betula spp.;Betula pendula;#843860;#FFFFCC;Betula spp.;Berk;;;;
Betula tremula/alba;Betula spp.;Betula tremula/alba;#377D22;#FFFFCC;Betula spp.;Berk;;;;
Carpinus betulus L.;Carpinus betulus;Carpinus betulus;#F08650;#EF972C;Carpinus betulus;Haagbeuk;;;;
Castanea sativa Mill.;Castanea sativa;Castanea sativa;#73FBFD;#EB3324;Castanea sativa;Tamme kastanje;;;;
Corylus avellana L.;Corylus avellana;Corylus avellana;#EA3FF7;#FFCD34;Corylus avellana;Hazelaar;;;;
Fagus sylvatica L.;Fagus sylvatica;Fagus sylvatica;#C63526;#7E350E;Fagus sylvatica;Beuk;;;;
Fraxinus excelsior L.;Fraxinus excelsior;Fraxinus excelsior;#006635;#73FBFD;Fraxinus excelsior;Gewone es;;;;
Larix deciduas;Larix spp.;Larix species;#741B7C;#741B7C;Larix spp.;Lork;;;;
Larix kaempferi;Larix spp.;Larix species;#741B7C;#741B7C;Larix spp.;Lork;;;;
Larix species;Larix spp.;Larix species;#741B7C;#741B7C;Larix spp.;Lork;;;;
Pinus nigra;Pinus nigra;Pinus nigra;#817F26;#356196;Pinus nigra;Zwarte den;;;;
Pinus pinaster;Pinus pinaster;Pinus pinaster;#7F82BB;#7F82BB;Pinus pinaster;Zeeden;;;;
Pinus sylvestris L.;Pinus sylvestris;Pinus sylvestris;#356196;#006635;Pinus sylvestris;Grove den;;;;
Populus canescens;Populus canescens;Populus canescens;#FFCD34;#808080;Populus canescens;Grauwe abeel;;;;
Populus alba;Populus spp.;Populus species;#3282F6;#C0C0C0;Populus spp.;Populier;;;;
Populus species;Populus spp.;Populus species;#3282F6;#C0C0C0;Populus spp.;Populier;;;;
Populus tremula L.;Populus spp.;Populus species;#3282F6;#C0C0C0;Populus spp.;Populier;;;;
Prunus avium (L.) L.;Prunus avium;Prunus avium;#EA3680;#EA3680;Prunus avium;Boskers;;;;
Prunus serotina Ehrh.;Prunus serotina;Prunus serotina;#FFFD55;#FFFD55;Prunus serotina;Amerikaanse vogelkers;;;;
Pseudotsuga menziesii;Pseudotsuga menziesii;Pseudotsuga menziesii;#7E84F7;#7E84F7;Pseudotsuga menziesii;Douglasspar;;;;
Quercus rubra L.;Quercus rubra;Quercus rubra;#FF3300;#FF3300;Quercus rubra;Amerikaanse eik;;;;
Quercus petraea Lieblein;Quercus spp. native;Quercus petraea;#E97132;#458B00;Quercus spp. Inheems;Inheemse eik;;;;
Quercus robur L.;Quercus spp. native;Quercus robur;#019966;#458B00;Quercus spp. Inheems;Inheemse eik;;;;
Robinia pseudoacacia L.;Robinia pseudoacacia;Robinia pseudoacacia;#C0C0C0;#843860;Robinia pseudoacacia;Valse acacia;;;;
Salix aurita L.;Salix ‘caprea’-type;Salix spp. (broad leaves);#7E350E;#8E403A;Salix spp. (breedbladig);Breedbladige wilg;;;;Salix ‘alba’-type
Salix spp. (broad leaves);Salix ‘caprea’-type;Salix spp. (broad leaves);#7E350E;#8E403A;Salix spp. (breedbladig);Breedbladige wilg;;;;Salix ‘caprea’-type
Salix spp. (small leaves);Salix ‘alba’-type;Salix spp. (small leaves);#CCFF66;#FFB90F;Salix spp. (smalbladig);Smalbladige wilg;;;;
Sorbus aucuparia L.;Sorbus aucuparia;Sorbus aucuparia;#C2C444;#C2C444;Sorbus aucuparia;Lijsterbes;;;;
Tilia cordata Mill.;Tilia cordata;Tilia cordata;#83CCEB;#FF7256;Tilia cordata;Winterlinde;;;;
Ulmus glabra Huds.;Ulmus glabra;Ulmus glabra;#808080;#377D22;Ulmus glabra;Ruwe iep;;;;
Ulmus laevis Pallas;Ulmus laevis;Ulmus laevis;#FFC000;#FFC000;Ulmus laevis;Fladderiep;;;;
Ulmus minor Mill.;Ulmus minor;Ulmus minor;#FFFFCC;#C63526;Ulmus minor;Gladde iep;;;;
